filepath,label
data\lisa\train\red\dayClip1--00143.jpg,red
data\lisa\train\red\dayClip1--00144.jpg,red
data\lisa\train\red\dayClip1--00145.jpg,red
data\lisa\train\red\dayClip1--00146.jpg,red
data\lisa\train\red\dayClip1--00147.jpg,red
data\lisa\train\red\dayClip1--00148.jpg,red
data\lisa\train\red\dayClip1--00149.jpg,red
data\lisa\train\red\dayClip1--00150.jpg,red
data\lisa\train\red\dayClip1--00151.jpg,red
data\lisa\train\red\dayClip1--00152.jpg,red
data\lisa\train\red\dayClip1--00153.jpg,red
data\lisa\train\red\dayClip1--00154.jpg,red
data\lisa\train\red\dayClip1--00155.jpg,red
data\lisa\train\red\dayClip1--00156.jpg,red
data\lisa\train\red\dayClip1--00157.jpg,red
data\lisa\train\red\dayClip1--00158.jpg,red
data\lisa\train\red\dayClip1--00159.jpg,red
data\lisa\train\red\dayClip1--00160.jpg,red
data\lisa\train\red\dayClip1--00161.jpg,red
data\lisa\train\red\dayClip1--00162.jpg,red
data\lisa\train\red\dayClip1--00163.jpg,red
data\lisa\train\red\dayClip1--00164.jpg,red
data\lisa\train\red\dayClip1--00165.jpg,red
data\lisa\train\red\dayClip1--00166.jpg,red
data\lisa\train\red\dayClip1--00167.jpg,red
data\lisa\train\red\dayClip1--00168.jpg,red
data\lisa\train\red\dayClip1--00169.jpg,red
data\lisa\train\red\dayClip1--00170.jpg,red
data\lisa\train\red\dayClip1--00171.jpg,red
data\lisa\train\red\dayClip1--00172.jpg,red
data\lisa\train\red\dayClip1--00173.jpg,red
data\lisa\train\red\dayClip1--00174.jpg,red
data\lisa\train\red\dayClip1--00175.jpg,red
data\lisa\train\red\dayClip1--00176.jpg,red
data\lisa\train\red\dayClip1--00177.jpg,red
data\lisa\train\red\dayClip1--00178.jpg,red
data\lisa\train\red\dayClip1--00179.jpg,red
data\lisa\train\red\dayClip1--00180.jpg,red
data\lisa\train\red\dayClip1--00181.jpg,red
data\lisa\train\red\dayClip1--00182.jpg,red
data\lisa\train\red\dayClip1--00183.jpg,red
data\lisa\train\red\dayClip1--00184.jpg,red
data\lisa\train\red\dayClip1--00185.jpg,red
data\lisa\train\red\dayClip1--00186.jpg,red
data\lisa\train\red\dayClip1--00187.jpg,red
data\lisa\train\red\dayClip1--00188.jpg,red
data\lisa\train\red\dayClip1--00189.jpg,red
data\lisa\train\red\dayClip1--00190.jpg,red
data\lisa\train\red\dayClip1--00191.jpg,red
data\lisa\train\red\dayClip1--00192.jpg,red
data\lisa\train\red\dayClip1--00193.jpg,red
data\lisa\train\red\dayClip1--00194.jpg,red
data\lisa\train\red\dayClip1--00195.jpg,red
data\lisa\train\red\dayClip1--00196.jpg,red
data\lisa\train\red\dayClip1--00197.jpg,red
data\lisa\train\red\dayClip1--00198.jpg,red
data\lisa\train\red\dayClip1--00199.jpg,red
data\lisa\train\red\dayClip1--00200.jpg,red
data\lisa\train\red\dayClip1--00201.jpg,red
data\lisa\train\red\dayClip1--00202.jpg,red
data\lisa\train\red\dayClip1--00203.jpg,red
data\lisa\train\red\dayClip1--00204.jpg,red
data\lisa\train\red\dayClip1--00205.jpg,red
data\lisa\train\red\dayClip1--00206.jpg,red
data\lisa\train\red\dayClip1--00207.jpg,red
data\lisa\train\red\dayClip1--00208.jpg,red
data\lisa\train\red\dayClip1--00209.jpg,red
data\lisa\train\red\dayClip1--00210.jpg,red
data\lisa\train\red\dayClip1--00211.jpg,red
data\lisa\train\red\dayClip1--00212.jpg,red
data\lisa\train\red\dayClip1--00213.jpg,red
data\lisa\train\red\dayClip1--00214.jpg,red
data\lisa\train\red\dayClip1--00215.jpg,red
data\lisa\train\red\dayClip1--00216.jpg,red
data\lisa\train\red\dayClip1--00217.jpg,red
data\lisa\train\red\dayClip1--00218.jpg,red
data\lisa\train\red\dayClip1--00219.jpg,red
data\lisa\train\red\dayClip1--00220.jpg,red
data\lisa\train\red\dayClip1--00221.jpg,red
data\lisa\train\red\dayClip1--00222.jpg,red
data\lisa\train\red\dayClip1--00223.jpg,red
data\lisa\train\red\dayClip1--00224.jpg,red
data\lisa\train\red\dayClip1--00225.jpg,red
data\lisa\train\red\dayClip1--00226.jpg,red
data\lisa\train\red\dayClip1--00227.jpg,red
data\lisa\train\red\dayClip1--00228.jpg,red
data\lisa\train\red\dayClip1--00229.jpg,red
data\lisa\train\red\dayClip1--00230.jpg,red
data\lisa\train\red\dayClip1--00231.jpg,red
data\lisa\train\red\dayClip1--00232.jpg,red
data\lisa\train\red\dayClip1--00233.jpg,red
data\lisa\train\red\dayClip1--00234.jpg,red
data\lisa\train\red\dayClip1--00235.jpg,red
data\lisa\train\red\dayClip1--00236.jpg,red
data\lisa\train\red\dayClip1--00237.jpg,red
data\lisa\train\red\dayClip1--00238.jpg,red
data\lisa\train\red\dayClip1--00239.jpg,red
data\lisa\train\red\dayClip1--00240.jpg,red
data\lisa\train\red\dayClip1--00241.jpg,red
data\lisa\train\red\dayClip1--00242.jpg,red
data\lisa\train\red\dayClip1--00243.jpg,red
data\lisa\train\red\dayClip1--00244.jpg,red
data\lisa\train\red\dayClip1--00245.jpg,red
data\lisa\train\red\dayClip1--00246.jpg,red
data\lisa\train\red\dayClip1--00247.jpg,red
data\lisa\train\red\dayClip1--00248.jpg,red
data\lisa\train\red\dayClip1--00249.jpg,red
data\lisa\train\red\dayClip1--00250.jpg,red
data\lisa\train\red\dayClip1--00251.jpg,red
data\lisa\train\red\dayClip1--00252.jpg,red
data\lisa\train\red\dayClip1--00253.jpg,red
data\lisa\train\red\dayClip1--00254.jpg,red
data\lisa\train\red\dayClip1--00255.jpg,red
data\lisa\train\red\dayClip1--00256.jpg,red
data\lisa\train\red\dayClip1--00257.jpg,red
data\lisa\train\red\dayClip1--00258.jpg,red
data\lisa\train\red\dayClip1--00259.jpg,red
data\lisa\train\red\dayClip1--00260.jpg,red
data\lisa\train\red\dayClip1--00261.jpg,red
data\lisa\train\red\dayClip1--00262.jpg,red
data\lisa\train\red\dayClip1--00263.jpg,red
data\lisa\train\red\dayClip1--00264.jpg,red
data\lisa\train\red\dayClip1--00265.jpg,red
data\lisa\train\red\dayClip1--00266.jpg,red
data\lisa\train\red\dayClip1--00267.jpg,red
data\lisa\train\red\dayClip1--00268.jpg,red
data\lisa\train\red\dayClip1--00269.jpg,red
data\lisa\train\red\dayClip1--00270.jpg,red
data\lisa\train\red\dayClip1--00271.jpg,red
data\lisa\train\red\dayClip1--00272.jpg,red
data\lisa\train\red\dayClip1--00273.jpg,red
data\lisa\train\red\dayClip1--00274.jpg,red
data\lisa\train\red\dayClip1--00275.jpg,red
data\lisa\train\red\dayClip1--00276.jpg,red
data\lisa\train\red\dayClip1--00277.jpg,red
data\lisa\train\red\dayClip1--00278.jpg,red
data\lisa\train\red\dayClip1--00279.jpg,red
data\lisa\train\red\dayClip1--00280.jpg,red
data\lisa\train\red\dayClip1--00281.jpg,red
data\lisa\train\red\dayClip1--00282.jpg,red
data\lisa\train\red\dayClip1--00283.jpg,red
data\lisa\train\red\dayClip1--00284.jpg,red
data\lisa\train\red\dayClip1--00285.jpg,red
data\lisa\train\red\dayClip1--00286.jpg,red
data\lisa\train\red\dayClip1--00287.jpg,red
data\lisa\train\red\dayClip1--00288.jpg,red
data\lisa\train\red\dayClip1--00289.jpg,red
data\lisa\train\red\dayClip1--00290.jpg,red
data\lisa\train\red\dayClip1--00291.jpg,red
data\lisa\train\red\dayClip1--00292.jpg,red
data\lisa\train\red\dayClip1--00293.jpg,red
data\lisa\train\red\dayClip1--00294.jpg,red
data\lisa\train\red\dayClip1--00295.jpg,red
data\lisa\train\red\dayClip1--00296.jpg,red
data\lisa\train\red\dayClip1--00297.jpg,red
data\lisa\train\red\dayClip1--00298.jpg,red
data\lisa\train\red\dayClip1--00299.jpg,red
data\lisa\train\red\dayClip1--00300.jpg,red
data\lisa\train\red\dayClip1--00301.jpg,red
data\lisa\train\red\dayClip1--00302.jpg,red
data\lisa\train\red\dayClip1--00303.jpg,red
data\lisa\train\red\dayClip1--00304.jpg,red
data\lisa\train\red\dayClip1--00305.jpg,red
data\lisa\train\red\dayClip1--00306.jpg,red
data\lisa\train\red\dayClip1--00307.jpg,red
data\lisa\train\red\dayClip1--00308.jpg,red
data\lisa\train\red\dayClip1--00309.jpg,red
data\lisa\train\red\dayClip1--00310.jpg,red
data\lisa\train\red\dayClip1--00311.jpg,red
data\lisa\train\red\dayClip1--00312.jpg,red
data\lisa\train\red\dayClip1--00313.jpg,red
data\lisa\train\red\dayClip1--00314.jpg,red
data\lisa\train\red\dayClip1--00315.jpg,red
data\lisa\train\red\dayClip1--00316.jpg,red
data\lisa\train\red\dayClip1--00317.jpg,red
data\lisa\train\red\dayClip1--00318.jpg,red
data\lisa\train\red\dayClip1--00319.jpg,red
data\lisa\train\red\dayClip1--00320.jpg,red
data\lisa\train\red\dayClip1--00321.jpg,red
data\lisa\train\red\dayClip1--00322.jpg,red
data\lisa\train\red\dayClip1--00323.jpg,red
data\lisa\train\red\dayClip1--00324.jpg,red
data\lisa\train\red\dayClip1--00325.jpg,red
data\lisa\train\red\dayClip1--00326.jpg,red
data\lisa\train\red\dayClip1--00327.jpg,red
data\lisa\train\red\dayClip1--00328.jpg,red
data\lisa\train\red\dayClip1--00329.jpg,red
data\lisa\train\red\dayClip1--00330.jpg,red
data\lisa\train\red\dayClip1--00331.jpg,red
data\lisa\train\red\dayClip1--00332.jpg,red
data\lisa\train\red\dayClip1--00333.jpg,red
data\lisa\train\red\dayClip1--00334.jpg,red
data\lisa\train\red\dayClip1--00335.jpg,red
data\lisa\train\red\dayClip1--00336.jpg,red
data\lisa\train\red\dayClip1--00337.jpg,red
data\lisa\train\red\dayClip1--00338.jpg,red
data\lisa\train\red\dayClip1--00339.jpg,red
data\lisa\train\red\dayClip1--00340.jpg,red
data\lisa\train\red\dayClip1--00341.jpg,red
data\lisa\train\red\dayClip1--00342.jpg,red
data\lisa\train\red\dayClip1--00343.jpg,red
data\lisa\train\red\dayClip1--00344.jpg,red
data\lisa\train\red\dayClip1--00345.jpg,red
data\lisa\train\red\dayClip1--00346.jpg,red
data\lisa\train\red\dayClip1--00347.jpg,red
data\lisa\train\red\dayClip1--00348.jpg,red
data\lisa\train\red\dayClip1--00349.jpg,red
data\lisa\train\red\dayClip1--00350.jpg,red
data\lisa\train\red\dayClip1--00351.jpg,red
data\lisa\train\red\dayClip1--00352.jpg,red
data\lisa\train\red\dayClip1--00353.jpg,red
data\lisa\train\red\dayClip1--00354.jpg,red
data\lisa\train\red\dayClip1--00355.jpg,red
data\lisa\train\red\dayClip1--00356.jpg,red
data\lisa\train\red\dayClip1--00357.jpg,red
data\lisa\train\red\dayClip1--00358.jpg,red
data\lisa\train\red\dayClip1--00359.jpg,red
data\lisa\train\red\dayClip1--00360.jpg,red
data\lisa\train\red\dayClip1--00361.jpg,red
data\lisa\train\red\dayClip1--00362.jpg,red
data\lisa\train\red\dayClip1--00363.jpg,red
data\lisa\train\red\dayClip1--00364.jpg,red
data\lisa\train\red\dayClip1--00365.jpg,red
data\lisa\train\red\dayClip1--00366.jpg,red
data\lisa\train\red\dayClip1--00367.jpg,red
data\lisa\train\red\dayClip1--00368.jpg,red
data\lisa\train\red\dayClip1--00369.jpg,red
data\lisa\train\red\dayClip1--00370.jpg,red
data\lisa\train\red\dayClip1--00371.jpg,red
data\lisa\train\red\dayClip1--00372.jpg,red
data\lisa\train\red\dayClip1--00373.jpg,red
data\lisa\train\red\dayClip1--00374.jpg,red
data\lisa\train\red\dayClip1--00375.jpg,red
data\lisa\train\red\dayClip1--00376.jpg,red
data\lisa\train\red\dayClip1--00377.jpg,red
data\lisa\train\red\dayClip1--00378.jpg,red
data\lisa\train\red\dayClip1--00379.jpg,red
data\lisa\train\red\dayClip1--00380.jpg,red
data\lisa\train\red\dayClip1--00381.jpg,red
data\lisa\train\red\dayClip1--00382.jpg,red
data\lisa\train\red\dayClip1--00383.jpg,red
data\lisa\train\red\dayClip1--00384.jpg,red
data\lisa\train\red\dayClip1--00385.jpg,red
data\lisa\train\red\dayClip1--00386.jpg,red
data\lisa\train\red\dayClip1--00387.jpg,red
data\lisa\train\red\dayClip1--00388.jpg,red
data\lisa\train\red\dayClip1--00389.jpg,red
data\lisa\train\red\dayClip1--00390.jpg,red
data\lisa\train\red\dayClip1--00391.jpg,red
data\lisa\train\red\dayClip1--00392.jpg,red
data\lisa\train\red\dayClip1--00393.jpg,red
data\lisa\train\red\dayClip1--00394.jpg,red
data\lisa\train\red\dayClip1--00395.jpg,red
data\lisa\train\red\dayClip1--00396.jpg,red
data\lisa\train\red\dayClip1--00397.jpg,red
data\lisa\train\red\dayClip1--00398.jpg,red
data\lisa\train\red\dayClip1--00399.jpg,red
data\lisa\train\red\dayClip1--00400.jpg,red
data\lisa\train\red\dayClip1--00401.jpg,red
data\lisa\train\red\dayClip1--00402.jpg,red
data\lisa\train\red\dayClip1--00403.jpg,red
data\lisa\train\red\dayClip1--00404.jpg,red
data\lisa\train\red\dayClip1--00405.jpg,red
data\lisa\train\red\dayClip1--00406.jpg,red
data\lisa\train\red\dayClip1--00407.jpg,red
data\lisa\train\red\dayClip1--00408.jpg,red
data\lisa\train\red\dayClip1--00409.jpg,red
data\lisa\train\red\dayClip1--00410.jpg,red
data\lisa\train\red\dayClip1--00411.jpg,red
data\lisa\train\red\dayClip1--00412.jpg,red
data\lisa\train\red\dayClip1--00413.jpg,red
data\lisa\train\red\dayClip1--00414.jpg,red
data\lisa\train\red\dayClip1--00415.jpg,red
data\lisa\train\red\dayClip1--00416.jpg,red
data\lisa\train\red\dayClip1--00417.jpg,red
data\lisa\train\red\dayClip1--00418.jpg,red
data\lisa\train\red\dayClip1--00419.jpg,red
data\lisa\train\red\dayClip1--00420.jpg,red
data\lisa\train\red\dayClip1--00421.jpg,red
data\lisa\train\red\dayClip1--00422.jpg,red
data\lisa\train\red\dayClip1--00423.jpg,red
data\lisa\train\red\dayClip1--00424.jpg,red
data\lisa\train\red\dayClip1--00425.jpg,red
data\lisa\train\red\dayClip1--00426.jpg,red
data\lisa\train\red\dayClip1--00427.jpg,red
data\lisa\train\red\dayClip1--00428.jpg,red
data\lisa\train\red\dayClip1--00429.jpg,red
data\lisa\train\red\dayClip1--00430.jpg,red
data\lisa\train\red\dayClip1--00431.jpg,red
data\lisa\train\red\dayClip1--00432.jpg,red
data\lisa\train\red\dayClip1--00433.jpg,red
data\lisa\train\red\dayClip1--00434.jpg,red
data\lisa\train\red\dayClip1--00435.jpg,red
data\lisa\train\red\dayClip1--00436.jpg,red
data\lisa\train\red\dayClip1--00437.jpg,red
data\lisa\train\red\dayClip1--00438.jpg,red
data\lisa\train\red\dayClip1--00439.jpg,red
data\lisa\train\red\dayClip1--00440.jpg,red
data\lisa\train\red\dayClip1--00441.jpg,red
data\lisa\train\red\dayClip1--00442.jpg,red
data\lisa\train\red\dayClip1--00443.jpg,red
data\lisa\train\red\dayClip1--00444.jpg,red
data\lisa\train\red\dayClip1--00445.jpg,red
data\lisa\train\red\dayClip1--00446.jpg,red
data\lisa\train\red\dayClip1--00447.jpg,red
data\lisa\train\red\dayClip1--00448.jpg,red
data\lisa\train\red\dayClip1--00449.jpg,red
data\lisa\train\red\dayClip1--00450.jpg,red
data\lisa\train\red\dayClip1--00451.jpg,red
data\lisa\train\red\dayClip1--00452.jpg,red
data\lisa\train\red\dayClip1--00453.jpg,red
data\lisa\train\red\dayClip1--00454.jpg,red
data\lisa\train\red\dayClip1--00455.jpg,red
data\lisa\train\red\dayClip1--00456.jpg,red
data\lisa\train\red\dayClip1--00457.jpg,red
data\lisa\train\red\dayClip1--00458.jpg,red
data\lisa\train\red\dayClip1--00459.jpg,red
data\lisa\train\red\dayClip1--00460.jpg,red
data\lisa\train\red\dayClip1--00461.jpg,red
data\lisa\train\red\dayClip1--00462.jpg,red
data\lisa\train\red\dayClip1--00463.jpg,red
data\lisa\train\red\dayClip1--00464.jpg,red
data\lisa\train\red\dayClip1--00465.jpg,red
data\lisa\train\red\dayClip1--00466.jpg,red
data\lisa\train\red\dayClip1--00467.jpg,red
data\lisa\train\red\dayClip1--00468.jpg,red
data\lisa\train\red\dayClip1--00469.jpg,red
data\lisa\train\red\dayClip1--00470.jpg,red
data\lisa\train\red\dayClip1--00471.jpg,red
data\lisa\train\red\dayClip1--00472.jpg,red
data\lisa\train\red\dayClip1--00473.jpg,red
data\lisa\train\red\dayClip1--00474.jpg,red
data\lisa\train\red\dayClip1--00475.jpg,red
data\lisa\train\red\dayClip1--00476.jpg,red
data\lisa\train\red\dayClip1--00477.jpg,red
data\lisa\train\red\dayClip1--00478.jpg,red
data\lisa\train\red\dayClip1--00479.jpg,red
data\lisa\train\red\dayClip1--00480.jpg,red
data\lisa\train\red\dayClip1--00481.jpg,red
data\lisa\train\red\dayClip1--00482.jpg,red
data\lisa\train\red\dayClip1--00483.jpg,red
data\lisa\train\red\dayClip1--00484.jpg,red
data\lisa\train\red\dayClip1--00485.jpg,red
data\lisa\train\red\dayClip1--00486.jpg,red
data\lisa\train\red\dayClip1--00487.jpg,red
data\lisa\train\red\dayClip1--00488.jpg,red
data\lisa\train\red\dayClip1--00489.jpg,red
data\lisa\train\red\dayClip1--00490.jpg,red
data\lisa\train\red\dayClip1--00491.jpg,red
data\lisa\train\red\dayClip1--00492.jpg,red
data\lisa\train\red\dayClip1--00493.jpg,red
data\lisa\train\red\dayClip1--00494.jpg,red
data\lisa\train\red\dayClip1--00495.jpg,red
data\lisa\train\red\dayClip1--00496.jpg,red
data\lisa\train\red\dayClip1--00497.jpg,red
data\lisa\train\red\dayClip1--00498.jpg,red
data\lisa\train\red\dayClip1--00499.jpg,red
data\lisa\train\red\dayClip1--00500.jpg,red
data\lisa\train\red\dayClip1--00501.jpg,red
data\lisa\train\red\dayClip1--00502.jpg,red
data\lisa\train\red\dayClip1--00503.jpg,red
data\lisa\train\red\dayClip1--00504.jpg,red
data\lisa\train\red\dayClip1--00505.jpg,red
data\lisa\train\red\dayClip1--00506.jpg,red
data\lisa\train\red\dayClip1--00507.jpg,red
data\lisa\train\red\dayClip1--00508.jpg,red
data\lisa\train\red\dayClip1--00509.jpg,red
data\lisa\train\red\dayClip1--00510.jpg,red
data\lisa\train\red\dayClip1--00511.jpg,red
data\lisa\train\red\dayClip1--00512.jpg,red
data\lisa\train\red\dayClip1--00513.jpg,red
data\lisa\train\red\dayClip1--00514.jpg,red
data\lisa\train\red\dayClip1--00515.jpg,red
data\lisa\train\red\dayClip1--00516.jpg,red
data\lisa\train\red\dayClip1--00517.jpg,red
data\lisa\train\red\dayClip1--00518.jpg,red
data\lisa\train\red\dayClip1--00519.jpg,red
data\lisa\train\red\dayClip1--00520.jpg,red
data\lisa\train\red\dayClip1--00521.jpg,red
data\lisa\train\red\dayClip1--00522.jpg,red
data\lisa\train\red\dayClip1--00523.jpg,red
data\lisa\train\red\dayClip1--00524.jpg,red
data\lisa\train\red\dayClip1--00525.jpg,red
data\lisa\train\red\dayClip1--00526.jpg,red
data\lisa\train\red\dayClip1--00527.jpg,red
data\lisa\train\red\dayClip1--00528.jpg,red
data\lisa\train\red\dayClip1--00529.jpg,red
data\lisa\train\red\dayClip1--00530.jpg,red
data\lisa\train\red\dayClip1--00531.jpg,red
data\lisa\train\red\dayClip1--00532.jpg,red
data\lisa\train\red\dayClip1--00533.jpg,red
data\lisa\train\red\dayClip1--00534.jpg,red
data\lisa\train\red\dayClip1--00535.jpg,red
data\lisa\train\red\dayClip1--00536.jpg,red
data\lisa\train\red\dayClip1--00537.jpg,red
data\lisa\train\red\dayClip1--00538.jpg,red
data\lisa\train\red\dayClip1--00539.jpg,red
data\lisa\train\red\dayClip1--00540.jpg,red
data\lisa\train\red\dayClip1--00541.jpg,red
data\lisa\train\red\dayClip1--00542.jpg,red
data\lisa\train\red\dayClip1--00543.jpg,red
data\lisa\train\red\dayClip1--00544.jpg,red
data\lisa\train\red\dayClip1--00545.jpg,red
data\lisa\train\red\dayClip1--00546.jpg,red
data\lisa\train\red\dayClip1--00547.jpg,red
data\lisa\train\red\dayClip1--00548.jpg,red
data\lisa\train\red\dayClip1--00549.jpg,red
data\lisa\train\red\dayClip1--00550.jpg,red
data\lisa\train\red\dayClip1--00551.jpg,red
data\lisa\train\red\dayClip1--00552.jpg,red
data\lisa\train\red\dayClip1--00553.jpg,red
data\lisa\train\red\dayClip1--00554.jpg,red
data\lisa\train\red\dayClip1--00555.jpg,red
data\lisa\train\red\dayClip1--00556.jpg,red
data\lisa\train\red\dayClip1--00557.jpg,red
data\lisa\train\red\dayClip1--00558.jpg,red
data\lisa\train\red\dayClip1--00559.jpg,red
data\lisa\train\red\dayClip1--00560.jpg,red
data\lisa\train\red\dayClip1--00561.jpg,red
data\lisa\train\red\dayClip1--00562.jpg,red
data\lisa\train\red\dayClip1--00563.jpg,red
data\lisa\train\red\dayClip1--00564.jpg,red
data\lisa\train\red\dayClip1--00565.jpg,red
data\lisa\train\red\dayClip1--00566.jpg,red
data\lisa\train\red\dayClip1--00567.jpg,red
data\lisa\train\red\dayClip1--00568.jpg,red
data\lisa\train\red\dayClip1--00569.jpg,red
data\lisa\train\red\dayClip1--00570.jpg,red
data\lisa\train\red\dayClip1--00571.jpg,red
data\lisa\train\red\dayClip1--00572.jpg,red
data\lisa\train\red\dayClip1--00573.jpg,red
data\lisa\train\red\dayClip1--00574.jpg,red
data\lisa\train\red\dayClip1--00575.jpg,red
data\lisa\train\red\dayClip1--00576.jpg,red
data\lisa\train\red\dayClip1--00577.jpg,red
data\lisa\train\red\dayClip1--00578.jpg,red
data\lisa\train\red\dayClip1--00579.jpg,red
data\lisa\train\red\dayClip1--00580.jpg,red
data\lisa\train\red\dayClip1--00581.jpg,red
data\lisa\train\red\dayClip1--00582.jpg,red
data\lisa\train\red\dayClip1--00583.jpg,red
data\lisa\train\red\dayClip1--00584.jpg,red
data\lisa\train\red\dayClip1--00585.jpg,red
data\lisa\train\red\dayClip1--00586.jpg,red
data\lisa\train\red\dayClip1--00587.jpg,red
data\lisa\train\red\dayClip1--00588.jpg,red
data\lisa\train\red\dayClip1--00589.jpg,red
data\lisa\train\red\dayClip1--00590.jpg,red
data\lisa\train\red\dayClip1--00591.jpg,red
data\lisa\train\red\dayClip1--00592.jpg,red
data\lisa\train\red\dayClip1--00593.jpg,red
data\lisa\train\red\dayClip1--00594.jpg,red
data\lisa\train\red\dayClip1--00595.jpg,red
data\lisa\train\red\dayClip1--00596.jpg,red
data\lisa\train\red\dayClip1--00597.jpg,red
data\lisa\train\red\dayClip1--00598.jpg,red
data\lisa\train\red\dayClip1--00599.jpg,red
data\lisa\train\red\dayClip1--00600.jpg,red
data\lisa\train\red\dayClip1--00601.jpg,red
data\lisa\train\red\dayClip1--00602.jpg,red
data\lisa\train\red\dayClip1--00603.jpg,red
data\lisa\train\red\dayClip1--00604.jpg,red
data\lisa\train\red\dayClip1--00605.jpg,red
data\lisa\train\red\dayClip1--00606.jpg,red
data\lisa\train\red\dayClip1--00607.jpg,red
data\lisa\train\red\dayClip1--00608.jpg,red
data\lisa\train\red\dayClip1--00609.jpg,red
data\lisa\train\red\dayClip1--00610.jpg,red
data\lisa\train\red\dayClip1--00611.jpg,red
data\lisa\train\red\dayClip1--00612.jpg,red
data\lisa\train\red\dayClip1--00613.jpg,red
data\lisa\train\red\dayClip1--00614.jpg,red
data\lisa\train\red\dayClip1--00615.jpg,red
data\lisa\train\red\dayClip1--00616.jpg,red
data\lisa\train\red\dayClip1--00617.jpg,red
data\lisa\train\red\dayClip1--00618.jpg,red
data\lisa\train\red\dayClip1--00619.jpg,red
data\lisa\train\red\dayClip1--00620.jpg,red
data\lisa\train\red\dayClip1--00621.jpg,red
data\lisa\train\red\dayClip1--00622.jpg,red
data\lisa\train\red\dayClip1--00623.jpg,red
data\lisa\train\red\dayClip1--00624.jpg,red
data\lisa\train\red\dayClip1--00625.jpg,red
data\lisa\train\red\dayClip1--00626.jpg,red
data\lisa\train\red\dayClip1--00627.jpg,red
data\lisa\train\red\dayClip1--00628.jpg,red
data\lisa\train\red\dayClip1--00629.jpg,red
data\lisa\train\red\dayClip1--00630.jpg,red
data\lisa\train\red\dayClip1--00631.jpg,red
data\lisa\train\red\dayClip1--00632.jpg,red
data\lisa\train\red\dayClip1--00633.jpg,red
data\lisa\train\red\dayClip1--00634.jpg,red
data\lisa\train\red\dayClip1--00635.jpg,red
data\lisa\train\red\dayClip1--00636.jpg,red
data\lisa\train\red\dayClip1--00637.jpg,red
data\lisa\train\red\dayClip1--00638.jpg,red
data\lisa\train\red\dayClip1--00639.jpg,red
data\lisa\train\red\dayClip1--00640.jpg,red
data\lisa\train\red\dayClip1--00641.jpg,red
data\lisa\train\red\dayClip1--00642.jpg,red
data\lisa\train\red\dayClip1--00643.jpg,red
data\lisa\train\red\dayClip1--00644.jpg,red
data\lisa\train\red\dayClip1--00645.jpg,red
data\lisa\train\red\dayClip1--00646.jpg,red
data\lisa\train\red\dayClip1--00647.jpg,red
data\lisa\train\red\dayClip1--00648.jpg,red
data\lisa\train\red\dayClip1--00649.jpg,red
data\lisa\train\red\dayClip1--00650.jpg,red
data\lisa\train\red\dayClip1--00651.jpg,red
data\lisa\train\red\dayClip1--00652.jpg,red
data\lisa\train\red\dayClip1--00653.jpg,red
data\lisa\train\red\dayClip1--00654.jpg,red
data\lisa\train\red\dayClip1--00655.jpg,red
data\lisa\train\red\dayClip1--00656.jpg,red
data\lisa\train\red\dayClip1--00657.jpg,red
data\lisa\train\red\dayClip1--00658.jpg,red
